web-scraper-order,web-scraper-start-url,joblink,joblink-href,Job,company,Location,keyskills,experience
"1551706740-1402","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-48","Technical Architect - .net/c#","https://www.naukri.com/job-listings-Technical-Architect-net-c-Brainsearch-Consulting-Pvt-Ltd-Gurgaon-Noida-15-to-18-years-270219901955?src=premjobsearchDesk&sid=15517067149426&xp=31&px=48","Technical Architect - .net/c#","Brainsearch Consulting Pvt Ltd.","Gurgaon,    Noida","C#     Design Patterns     UML     .Net     OOAD     Software Architecture     C#.Net     Web Technologies     Solution Design     Data Analytics","15 - 18 yrs"
"1551711304-3021","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","SSD Firmware Engineer (Top Five Semicon Co in the World)","https://www.naukri.com/job-listings-SSD-Firmware-Engineer-Top-Five-Semicon-Co-in-the-World-Mulya-Consulting-Hyderabad-3-to-6-years-040319003491?src=premjobsearchDesk&sid=15517112251550&xp=12&px=2","SSD Firmware Engineer (Top Five Semicon Co in the World)","Mulya Consulting  hiring for Top Five Semiconductor Company in the world","Hyderabad","c     c++     systemc     sata     python     sas     tcl     firmware     pcie     ssd     nvme     cache layer     ftl     nand     dram     soc     ide     slick edit     sourcepoint     realview     logic analyzer     bus analyzer     flash translation layer     solid state drive     mqx","3 - 6 yrs"
"1551711144-2963","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Backend Developer - Node.js","https://www.naukri.com/job-listings-Backend-Developer-Node-js-TalentStack-The-Hiring-Story-Bengaluru-2-to-5-years-040319002118?src=premjobsearchDesk&sid=15517110881881&xp=20&px=3","Backend Developer - Node.js","TalentStack/The Hiring Story","Bengaluru","Node.Js     Javascript     React.Js     AWS     Agile Development     Java     Scratch     Data Analytics     Product Development","2 - 5 yrs"
"1551707084-1529","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-46","Mobile Engineer - iOS","https://www.naukri.com/job-listings-Mobile-Engineer-iOS-Eros-International-Media-Limited-Mumbai-3-to-6-years-020119002584?src=premjobsearchDesk&sid=15517069897683&xp=4&px=46","Mobile Engineer - iOS","Eros International Media Limited","Mumbai","Ios Development     IOS Developer     Mobile Application Development     Mobile Development     Swift     Objective C     Vipe     VIPER     IOS Application Developer     Senior Ios Developer     Junior Ios Developer     Ios Software Developer","3 - 6 yrs"
"1551707207-1573","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","Qt/qml/ Html/ JavaScript","https://www.naukri.com/job-listings-Qt-qml-Html-JavaScript-Talent-Grow-Recruitment-Consultants-Bengaluru-3-to-8-years-270219007496?src=premjobsearchDesk&sid=15517071251135&xp=10&px=45","Qt/qml/ Html/ JavaScript","Talent Grow Recruitment Consultants","Bengaluru","Qml     QT     Javascript     HTML     Application Development     Design Development     Life Cycle","3 - 8 yrs"
"1551708631-2084","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","Immediately Seeking for Developer(can/uds)-graphene Semiconductor","https://www.naukri.com/job-listings-Immediately-Seeking-for-Developer-can-uds-graphene-Semiconductor-Graphene-Semiconductor-Services-Pvt-Ltd-Bengaluru-2-to-7-years-260219005895?src=premjobsearchDesk&sid=1551708654279&xp=49&px=34","Immediately Seeking for Developer(can/uds)-graphene Semiconductor","Graphene Semiconductor Services Pvt. Ltd.","Bengaluru","Canoe     LIN     FlexRay     UDS     AUTOSAR     Doors     Automotive     MKS     Clearcase     Clear Quest     BCM     Diagnostics     MCAL     BSW     CAN     VectorCast","2 - 7 yrs"
"1551710171-2612","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-24","UI Developer - Javascript/react.js","https://www.naukri.com/job-listings-UI-Developer-Javascript-react-js-SquareRoot-Bengaluru-2-to-6-years-280219004815?src=premjobsearchDesk&sid=15517101182112&xp=21&px=24","UI Developer - Javascript/react.js","SquareRoot","Bengaluru","Javascript     UI Development     React.Js     PHP     DOM     Front End     UX     GIT     Usability     Web Technologies","2 - 6 yrs"
"1551709800-2480","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27","Technical Lead - It/software Development - Java/j2ee","https://www.naukri.com/job-listings-Technical-Lead-It-software-Development-Java-j2ee-Career-Infosystem-Bengaluru-8-to-10-years-270219008350?src=premjobsearchDesk&sid=15517096896357&xp=3&px=27","Technical Lead - It/software Development - Java/j2ee","Career Infosystem","Bengaluru","Java     J2Ee     Application Development     Software Development     Engineering Management     Engagement Management     Customer Management     Oracle     MySQL     PostGreSQL","8 - 10 yrs"
"1551710994-2911","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Scala Developer","https://www.naukri.com/job-listings-Scala-Developer-ARC-Document-Solutions-India-Pvt-Ltd-Kolkata-4-to-9-years-180219004619?src=premjobsearchDesk&sid=15517109462706&xp=22&px=8","Scala Developer","ARC Document Solutions India Pvt. Ltd.","Kolkata","javascript     play framework     akka     rest     angularjs     tdd     git     oops     scala","4 - 9 yrs"
"1551710370-2682","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Channels Technology Development Lead","https://www.naukri.com/job-listings-Channels-Technology-Development-Lead-Citicorp-Services-India-Pvt-Ltd-Pune-14-to-16-years-280219900517?src=premjobsearchDesk&sid=15517102587460&xp=1&px=23","Channels Technology Development Lead","Citicorp Services India Pvt Ltd","Pune","Networking     Project management     SDLC     PMP     Information technology     Release management     Performance management     Relationship management     SEZ     Development Lead","14 - 16 yrs"
"1551710975-2904","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Data Scientist","https://www.naukri.com/job-listings-Data-Scientist-Kelly-Outsourcing-and-Consulting-Group-India-Priv-ate-Limited-Bengaluru-3-to-8-years-020319005274?src=premjobsearchDesk&sid=15517109462706&xp=29&px=8","Data Scientist","Kelly Outsourcing and Consulting Group India  Priv ate Limited  hiring for Gyansys Infotech","Bengaluru","Deep Learning     NLP     Data Science     SQL     Machine Learning     Python     R     Algorithms     Time Series     Data Visualization","3 - 8 yrs"
"1551709864-2502","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","Sr Python Developer - Nosql/mongodb","https://www.naukri.com/job-listings-Sr-Python-Developer-Nosql-mongodb-Career-Infosystem-Pune-3-to-8-years-270219009619?src=premjobsearchDesk&sid=15517098381524&xp=31&px=26","Sr Python Developer - Nosql/mongodb","Career Infosystem","Pune","Django     Python     NoSQL     MongoDB     Rest     GIT     Postgresql     JSON     AWS     Web Application Development","3 - 8 yrs"
"1551708797-2138","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-33","Full Stack Developer - Backend Programming","https://www.naukri.com/job-listings-Full-Stack-Developer-Backend-Programming-Talent-Socio-Gurgaon-2-to-5-years-260219008433?src=premjobsearchDesk&sid=15517088082922&xp=45&px=33","Full Stack Developer - Backend Programming","Talent Socio","Gurgaon","HTML     Javascript     PHP     Redis     Java     Ruby     Postgres     Rest     Python     Front End","2 - 5 yrs"
"1551710706-2807","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-20","Senior Test Engineer","https://www.naukri.com/job-listings-Senior-Test-Engineer-Mphasis-Limited-Bengaluru-4-to-6-years-250219901451?src=premjobsearchDesk&sid=15517106685705&xp=26&px=20","Senior Test Engineer","Mphasis Limited","Bengaluru","Windows     QTP     Performance testing     Configuration management     Selenium     Test cases     Regression testing     Technical documentation     Test strategy     Test execution","4 - 6 yrs"
"1551710168-2611","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-24","Senior Technical Program Manager","https://www.naukri.com/job-listings-Senior-Technical-Program-Manager-SHORTLIST-PROFESSIONAL-SERVICES-PRIVATE-LIMITED-Delhi-NCR-8-to-12-years-280219004836?src=premjobsearchDesk&sid=15517101182112&xp=22&px=24","Senior Technical Program Manager","SHORTLIST PROFESSIONAL SERVICES PRIVATE LIMITED","Delhi NCR","program management     public health     open source     project planning     technical design     mobile applications     mhealth     Project Management     Senior Technical Project Manager     Technical Project Manager","8 - 12 yrs"
"1551709283-2300","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-30","JAVA + Angular( Full Stack Developer)","https://www.naukri.com/job-listings-JAVA-Angular-Full-Stack-Developer-Toppersedge-com-India-Pvt-Ltd-Pune-5-to-10-years-130718004900?src=premjobsearchDesk&sid=1551709259239&xp=33&px=30","JAVA + Angular( Full Stack Developer)","Toppersedge.com India Pvt Ltd","Pune","Hibernate     Core Java     Spring     Advanced Java     Javascript     ORM     MVC Framework     SQL","5 - 10 yrs"
"1551710039-2565","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-25","Algorithmic Trading Professional","https://www.naukri.com/job-listings-Algorithmic-Trading-Professional-Madison-Cube-Recruitment-PAN-India-0-to-4-years-280219000402?src=premjobsearchDesk&sid=15517099747949&xp=18&px=25","Algorithmic Trading Professional","Madison Cube Recruitment","PAN India","data structures     algorithms     c++     design patterns     os     analytical skills     capital market     quantitative strategist     Algorithmic Trading","0 - 4 yrs"
"1551708542-2054","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-35","Frontend Web Developer - React.js","https://www.naukri.com/job-listings-Frontend-Web-Developer-React-js-TSD-Corporation-Mumbai-1-to-5-years-010319001137?src=premjobsearchDesk&sid=15517085062925&xp=29&px=35","Frontend Web Developer - React.js","TSD Corporation","Mumbai","Javascript     JQuery     CSS     Ajax     Html5     Angularjs     React.Js     MySQL     GIMP     Web Development     CSS3","1 - 5 yrs"
"1551707351-1627","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-44","Job Opening for Java Lead Professionals - Chennai","https://www.naukri.com/job-listings-Opening-for-Java-Lead-Professionals-Chennai-BAHWAN-CYBERTEK-PRIVATE-LIMITED-Chennai-9-to-14-years-270219010225?src=premjobsearchDesk&sid=15517072621477&xp=6&px=44","Job Opening for Java Lead Professionals - Chennai","BAHWAN CYBERTEK PRIVATE LIMITED","Chennai","Rest     SOAP     Core Java     XML     Web Services     JSON     JEE     Design Patterns     NoSQL     ESB","9 - 14 yrs"
"1551706773-1415","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-48","Principal Software Engineer - IT","https://www.naukri.com/job-listings-Principal-Software-Engineer-IT-Dell-International-Services-India-Private-Limited-Bengaluru-6-to-9-years-270219900701?src=premjobsearchDesk&sid=15517067149426&xp=18&px=48","Principal Software Engineer - IT","Dell International Services India  Private Limited","Bengaluru","octopus     continuous integration     software engineering     ci - cd pipelines     devops     powershell     windows scripting     teamcity     artifactory     software development     powershell & windows scripting     tfs     containers     github     gitlab     docker.","6 - 9 yrs"
"1551708736-2119","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","Senior JavaScript Developer","https://www.naukri.com/job-listings-Senior-JavaScript-Developer-msg-ai-Gurgaon-3-to-6-years-260219007446?src=premjobsearchDesk&sid=1551708654279&xp=14&px=34","Senior JavaScript Developer","msg.ai","Gurgaon","HTML     CSS     Javascript     Grunt     DOM     UX     Front End     Design Patterns     Web Technologies     API","3 - 6 yrs"
